x (m),y (m),norm_secs (secs),time (days)
797.9212999999963,677.2126000001444,0.0,39746.347662037
795.5125999994525,673.8825999998771,3.0000069877132773,39746.3476967593
791.993899998557,673.3275999997022,6.000005174428225,39746.3477314815
786.0775999996113,676.4689000001308,9.000002732500434,39746.3477662037
782.3812999997954,676.2912999996333,12.000000919215381,39746.3478009259
777.7525999985464,677.034999999647,15.000007906928658,39746.3478356482
773.6788999990531,678.1338999998698,18.000006093643606,39746.3478703704
769.7938999993967,678.3225999997085,21.000004280358553,39746.3479050926
766.2862999994195,679.4326000000619,24.000001838430762,39746.3479398148
762.7675999985222,680.7313000002541,27.00000002514571,39746.347974537
758.8825999988676,681.0975999998009,30.000007012858987,39746.3480092593
754.8199999987137,681.2862999996396,33.000005199573934,39746.3480439815
750.5575999993798,681.2862999996396,36.00000275764614,39746.3480787037
745.1962999990337,680.3649999999143,39.00000094436109,39746.3481134259
740.2012999990257,681.0975999998009,41.99999913107604,39746.3481481481
737.237599999884,679.7988999996087,45.000006118789315,39746.3481828704
733.1749999997301,680.1763000000756,48.000003676861525,39746.3482175926
728.3575999986424,681.0975999998009,51.00000186357647,39746.3482523148
720.9538999996676,684.4276000000682,54.00000005029142,39746.348287037
718.922599998803,680.3649999999143,57.000007038004696,39746.3483217593
714.6712999988104,676.102599999791,60.000005224719644,39746.3483564815
708.5663000000259,668.6989000000285,63.00000278279185,39746.3483912037
713.1838999987795,659.2639000001909,66.0000009695068,39746.3484259259
716.8912999995136,662.227600000122,68.0000058375299,39746.3484490741
719.2888999991392,667.9663000001456,70.00000127591193,39746.3484722222
732.7975999984737,675.369999999908,72.00000614393502,39746.3484953704
750.5575999993798,684.9826000002467,74.00000158231705,39746.3485185185
764.6212999988911,691.4650000002839,76.00000645034015,39746.3485416667
772.5688999986996,693.3075999997345,78.00000188872218,39746.3485648148
776.0875999995951,687.9463000001779,80.00000675674528,39746.348587963
772.2025999999405,677.2126000001444,82.00000219512731,39746.3486111111
764.4325999990506,668.8875999998672,84.0000070631504,39746.3486342593
758.5162999985296,664.4476000000359,86.00000250153244,39746.3486574074
751.6675999997315,656.866299999776,89.00000068824738,39746.3486921296
753.3325999986828,643.1799999999421,92.00000767596066,39746.3487268519
759.8038999993805,638.551300000272,94.00000311434269,39746.34875
777.008899998531,631.5139000000563,95.99999918136746,39746.3487731481
775.9099999990976,631.8912999997337,98.00000342074782,39746.3487962963
769.7938999993967,634.1112999996512,101.00000160746276,39746.3488310185
750.5575999993798,637.2526000000798,103.99999979417771,39746.3488657407
738.9025999988353,636.8862999997436,107.00000678189099,39746.348900463
730.3888999995088,635.032600000166,110.0000043399632,39746.3489351852
725.0275999991627,630.7813000001697,113.00000252667814,39746.3489699074
720.9538999996676,627.2626000000637,116.00000071339309,39746.3490046296
715.4038999994846,622.0789000002187,119.00000770110637,39746.3490393519
710.7862999991539,617.6389000003837,122.00000588782132,39746.3490740741
705.9688999996433,613.2099999998936,125.00000344589353,39746.3491087963
703.5713000000178,608.5813000002236,128.00000163260847,39746.3491435185
703.5713000000178,601.3663000002998,130.99999981932342,39746.3491782407
701.528899999812,597.481299999854,134.0000068070367,39746.349212963
702.2725999998274,594.5175999999228,137.0000043651089,39746.3492476852
703.9375999987788,590.6326000002664,140.00000255182385,39746.3492824074
704.8588999992917,587.4912999998378,143.0000007385388,39746.3493171296
704.3149999984562,584.8939000002429,146.00000772625208,39746.3493518519
704.1262999986175,583.4176000003426,149.0000052843243,39746.3493865741
701.9062999994894,580.6426000002502,152.00000347103924,39746.3494212963
697.8325999999961,579.7212999997391,155.00000165775418,39746.3494560185
693.9475999987626,579.3550000001887,157.99999984446913,39746.3494907407
691.7275999996345,581.7525999998143,161.0000068321824,39746.349525463
688.2088999987391,580.276299999914,164.00000439025462,39746.3495601852
685.2562999989368,579.3550000001887,167.00000257696956,39746.3495949074
685.8112999991135,582.1300000002811,170.0000007636845,39746.3496296296
685.8112999991135,582.1300000002811,171.0000028833747,39746.3496412037
684.8899999986006,583.0513000000064,173.0000077513978,39746.3496643519
681.3712999992822,582.4962999998315,176.00000530947,39746.3496990741
678.4075999985616,582.8626000001677,179.00000349618495,39746.3497337963
675.8212999990974,586.1925999996456,182.0000016828999,39746.3497685185
672.8575999999557,586.5588999999854,184.99999986961484,39746.3498032407
