x (m),y (m),norm_secs (secs),time (days)
199.48699999848213,21.802000000043336,0.0,39749.0436574074
86.48899999984133,52.88199999965582,5.000003054738045,39749.0437152778
628.0579999985439,4.486000000382774,10.00000610947609,39793.370787037
627.1699999992088,10.035999999778142,15.000008535571396,39793.3708449074
626.2819999998719,15.808000000190077,20.00001159030944,39793.3709027778
629.0569999991767,18.804999999720167,25.000014016404748,39793.3709606482
626.9479999997693,23.24500000034095,30.000007641501725,39793.3710185185
627.0589999994882,26.907999999770254,35.00001069623977,39793.3710763889
626.5039999993114,28.684000000019296,40.000013122335076,39793.3711342593
626.5039999993114,28.684000000019296,43.000011309050024,39793.3711689815
626.6149999990321,29.127999999687745,45.00000674743205,39793.3711921296
630.277999999249,33.90100000025632,50.00000917352736,39793.37125
632.4979999999523,38.00800000013987,55.000012228265405,39793.3713078704
630.4999999986867,37.89699999962977,60.00000585336238,39793.3713657407
625.5049999986804,45.99999999967986,65.00000827945769,39793.3714236111
622.6189999996568,52.99300000016228,70.00001133419573,39793.3714814815
620.6209999999683,62.42800000000352,75.00001376029104,39793.3715393519
619.5109999996166,65.53600000004371,80.00000738538802,39793.3715972222
621.3979999995845,72.41800000001967,85.00000981148332,39793.3716550926
625.6159999999763,72.19599999978891,90.00001286622137,39793.371712963
625.726999999697,73.5280000003695,95.00000649131835,39793.3717708333
624.2839999986081,74.86000000016429,100.00000891741365,39793.3718287037
625.2829999992391,81.74200000014025,105.0000119721517,39793.3718865741
621.2869999998638,90.84400000003006,110.00000559724867,39793.3719444444
620.9539999991284,100.94499999976688,115.00000802334398,39793.3720023148
622.9519999988152,103.60900000013862,120.00001044943929,39793.3720601852
618.5119999989838,103.60900000013862,125.00001350417733,39793.3721180556
617.4019999986322,104.94099999992977,130.0000071292743,39793.3721759259
622.3969999986402,111.26799999973082,135.00000955536962,39793.3722337963
625.6159999999763,119.92599999995582,140.00001261010766,39793.3722916667
626.170999998576,126.58599999970465,145.00000623520464,39793.372349537
626.8369999984716,130.35999999964042,150.00000866129994,39793.3724074074
625.2829999992391,131.69200000022101,155.00001108739525,39793.3724652778
625.2829999992391,131.69200000022101,158.0000092741102,39793.3725
624.5059999996247,132.0250000001688,160.00000534113497,39793.3725231481
623.7290000000085,135.79900000010457,165.00000776723027,39793.3725810185
