x (m),y (m),norm_secs (secs),time (days)
797.4439999999395,572.140000000265,0.0,39740.2908912037
794.3359999998993,569.3650000001726,1.9999954383820295,39740.2909143518
790.8949999991219,568.1440000001021,4.000000306405127,39740.2909375
787.3429999986256,567.2559999999794,5.999995744787157,39740.2909606481
784.0129999991459,566.812000000311,8.000000612810254,39740.2909837963
780.1279999994913,568.1440000001021,9.999996051192284,39740.2910069444
777.3529999986094,568.4770000000499,12.000000919215381,39740.2910300926
773.9119999994109,568.3660000003292,13.99999635759741,39740.2910532407
770.4709999986335,568.9209999997183,16.000001225620508,39740.2910763889
766.5859999989771,569.3650000001726,17.999996664002538,39740.291099537
763.9219999993948,566.2570000001324,20.000001532025635,39740.2911226852
760.9249999990734,564.0370000002185,21.999996970407665,39740.2911458333
758.4829999989288,561.5950000000739,24.000001838430762,39740.2911689815
756.9289999996981,559.4859999998771,25.99999790545553,39740.2911921296
753.9319999993786,558.5979999997544,28.00000214483589,39740.2912152778
751.2679999997945,557.1550000002426,29.999998211860657,39740.2912384259
748.9369999993705,555.4899999997142,32.000002451241016,39740.2912615741
745.9399999990492,553.7140000002546,33.999998518265784,39740.2912847222
742.4989999998506,552.381999999674,36.00000275764614,39740.2913078704
741.9439999996739,549.4959999998609,37.99999882467091,39740.2913310185
739.3909999998104,546.8320000002786,40.00000306405127,39740.2913541667
737.9479999987216,544.6120000003611,41.99999913107604,39740.2913773148
737.281999998826,541.3929999998145,44.0000033704564,39740.291400463
736.7269999986493,538.7290000002286,45.999999437481165,39740.2914236111
735.505999998577,536.0649999998568,48.000003676861525,39740.2914467593
735.1729999994168,533.2899999997644,49.99999974388629,39740.2914699074
734.3959999998024,529.294000000391,52.00000398326665,39740.2914930556
734.0629999990651,526.8520000002463,54.00000005029142,39740.2915162037
734.3959999998024,525.0759999999973,55.99999548867345,39740.2915393518
734.0629999990651,523.4110000002584,58.000000356696546,39740.2915625
733.5079999988884,521.8570000002364,59.999995795078576,39740.2915856481
733.8409999996256,518.9709999996376,62.00000066310167,39740.2916087963
730.5109999985689,519.082000000144,63.9999961014837,39740.2916319444
730.7329999995854,517.195000000178,66.0000009695068,39740.2916550926
729.9559999999692,514.5309999998062,67.99999640788883,39740.2916782407
727.9579999987054,512.9769999997843,70.00000127591193,39740.2917013889
726.403999999473,511.5340000002725,71.99999671429396,39740.291724537
725.0719999996818,510.09099999997125,74.00000158231705,39740.2917476852
724.5169999995051,507.76000000033673,75.99999702069908,39740.2917708333
725.0719999996818,503.76400000017384,78.00000188872218,39740.2917939815
724.960999999963,500.98900000008143,79.99999732710421,39740.2918171296
725.0719999996818,498.76900000016394,82.00000219512731,39740.2918402778
724.1839999987697,495.5499999996173,83.99999763350934,39740.2918634259
724.5169999995051,492.88600000003134,86.00000250153244,39740.2918865741
724.2949999984885,490.3330000001697,87.99999793991446,39740.2919097222
724.1839999987697,488.88999999986845,90.00000280793756,39740.2919328704
725.2939999991213,487.7800000003044,91.99999824631959,39740.2919560185
726.7369999986331,487.7800000003044,94.00000311434269,39740.2919791667
727.6249999995453,486.22600000028615,95.99999918136746,39740.2920023148
726.1819999984564,484.1170000000893,98.00000342074782,39740.292025463
724.960999999963,481.56400000022404,99.99999948777258,39740.2920486111
727.6249999995453,476.79099999965547,102.00000372715294,39740.2920717593
727.4029999985287,474.0160000003525,103.99999979417771,39740.2920949074
729.6229999992338,470.5750000003645,106.00000403355807,39740.2921180556
727.6249999995453,468.90999999983615,108.00000010058284,39740.2921412037
723.0739999999932,469.24299999978393,109.99999553896487,39740.2921643518
720.2989999991132,468.4660000001677,112.00000040698797,39740.2921875
718.9669999993221,466.24600000025384,113.99999584537,39740.2922106481
716.0809999987214,464.137000000057,116.00000071339309,39740.2922337963
716.1920000000173,460.4739999998419,117.99999615177512,39740.2922569444
716.746999998617,458.14300000020376,120.00000101979822,39740.2922800926
719.4109999997781,455.36800000011135,121.99999645818025,39740.2923032407
723.1849999997139,451.92700000012337,124.00000132620335,39740.2923263889
724.2949999984885,450.7060000000529,125.99999676458538,39740.292349537
724.072999999049,447.8200000002398,128.00000163260847,39740.2923726852
723.1849999997139,443.26899999989837,129.9999970709905,39740.2923958333
724.1839999987697,439.4949999999626,132.0000019390136,39740.2924189815
725.6269999998585,437.7189999997172,133.99999737739563,39740.2924421296
724.7389999989446,436.0539999999746,136.00000224541873,39740.2924652778
723.5179999988723,434.0560000002879,137.99999768380076,39740.2924884259
722.7409999992578,430.9480000002477,140.00000255182385,39740.2925115741
726.0709999987375,426.5079999996269,141.99999799020588,39740.2925347222
727.9579999987054,424.39900000021953,144.00000285822898,39740.2925578704
728.2909999994408,421.29100000017934,145.999998296611,39740.2925810185
728.7349999998987,419.0710000002655,148.0000031646341,39740.2926041667
727.8469999989848,416.851000000348,149.99999860301614,39740.2926273148
726.9589999996497,416.51799999961077,152.00000347103924,39740.292650463
725.5159999985608,412.5220000002373,153.99999890942127,39740.2926736111
728.0690000000013,409.6359999996348,156.00000377744436,39740.2926967593
729.2899999984966,407.19400000027963,157.9999992158264,39740.2927199074
730.7329999995854,404.1969999999601,160.0000040838495,39740.2927430556
729.4009999997943,399.2019999999502,161.99999952223152,39740.2927662037
