sensor_id,mule_id,interaction_time,interaction_duration
546,0,0.0,1.3
697,0,0.0,2.7
977,0,0.0,6.7
638,0,4.6000000000000005,3.5
624,0,1.2000000000000002,8.700000000000001
289,0,11.4,26.1
17,0,11.200000000000001,28.3
601,0,38.800000000000004,4.7
918,0,52.6,3.5
96,0,51.1,7.4
918,0,56.900000000000006,3.1
86,0,61.800000000000004,3.1
582,0,61.2,4.0
96,0,67.3,0.9
918,0,66.8,2.1
86,0,75.0,3.1
582,0,74.7,3.5
385,0,107.2,3.3000000000000003
169,0,111.7,7.800000000000001
59,0,141.4,3.6
169,0,148.1,2.5
86,0,157.20000000000002,9.200000000000001
582,0,157.10000000000002,10.4
918,0,168.70000000000002,3.2
3,0,169.10000000000002,10.3
918,0,177.4,31.5
96,0,216.3,7.4
918,0,218.70000000000002,7.4
3,0,225.0,4.7
918,0,227.60000000000002,5.800000000000001
3,0,231.3,4.5
918,0,234.70000000000002,1.2000000000000002
385,0,239.5,1.7000000000000002
86,0,236.9,5.5
582,0,236.60000000000002,6.0
169,0,257.8,2.7
59,0,261.3,5.1000000000000005
385,0,267.1,14.3
385,0,281.5,6.1000000000000005
385,0,301.3,15.0
86,0,320.5,3.8000000000000003
385,0,323.20000000000005,3.4000000000000004
582,0,320.40000000000003,7.6000000000000005
385,0,333.8,1.0
59,0,337.70000000000005,10.8
59,0,355.0,3.4000000000000004
59,0,360.6,1.4000000000000001
605,0,343.3,19.900000000000002
591,0,347.6,17.400000000000002
605,0,364.70000000000005,4.2
605,0,372.8,1.7000000000000002
605,0,380.0,4.7
59,0,365.0,25.400000000000002
59,0,391.8,4.800000000000001
605,0,392.90000000000003,3.7
591,0,397.1,1.1
293,0,399.90000000000003,3.0
293,0,403.1,2.7
912,0,407.3,1.5
462,0,407.1,1.8
591,0,409.70000000000005,7.0
293,0,417.1,6.5
591,0,423.8,2.6
605,0,424.6,2.5
591,0,429.0,1.3
59,0,425.3,14.600000000000001
591,0,435.70000000000005,14.600000000000001
605,0,428.6,25.3
59,0,443.0,16.2
169,0,464.90000000000003,1.8
169,0,470.3,3.4000000000000004
76,0,471.90000000000003,1.8
59,0,474.6,6.9
605,0,475.6,7.300000000000001
591,0,480.1,4.3
293,0,484.5,3.0
59,0,488.5,17.400000000000002
59,0,517.1,1.4000000000000001
169,0,520.2,1.5
59,0,522.8000000000001,4.1000000000000005
385,0,528.7,23.1
605,0,554.7,2.1
605,0,560.4,0.9
59,0,553.2,23.400000000000002
605,0,573.4,12.3
591,0,575.4,11.600000000000001
738,0,587.1,2.1
59,0,592.5,2.8000000000000003
605,0,590.2,10.600000000000001
591,0,589.7,14.100000000000001
293,0,603.8000000000001,4.1000000000000005
605,0,609.4,0.4
59,0,609.0,1.6
293,0,611.4,4.6000000000000005
591,0,618.4000000000001,9.3
605,0,627.5,1.8
605,0,635.6,2.3000000000000003
605,0,644.1,2.5
605,0,652.2,1.5
59,0,627.7,28.1
59,0,659.0,4.2
474,0,669.4000000000001,1.7000000000000002
76,0,670.4000000000001,1.7000000000000002
76,0,672.8000000000001,0.8
169,0,671.9000000000001,1.9000000000000001
169,0,678.1,0.9
76,0,677.6,2.0
59,0,681.8000000000001,0.8
86,0,695.3000000000001,5.9
582,0,695.2,6.6000000000000005
918,0,706.0,1.2000000000000002
96,0,706.2,2.3000000000000003
96,0,764.0,2.8000000000000003
918,0,764.7,2.6
918,0,768.9000000000001,2.2
96,0,769.5,5.7
918,0,774.3000000000001,1.5
86,0,776.7,4.800000000000001
582,0,776.4000000000001,5.5
86,0,784.1,2.5
582,0,783.7,3.4000000000000004
918,0,790.6,2.3000000000000003
96,0,798.8000000000001,2.5
918,0,796.2,5.2
86,0,802.5,2.0
582,0,802.3000000000001,2.3000000000000003
385,0,814.8000000000001,1.3
385,0,823.1,36.300000000000004
385,0,863.7,8.700000000000001
385,0,875.7,20.5
169,0,902.3000000000001,2.0
86,0,907.7,1.3
582,0,907.7,1.5
169,0,915.8000000000001,3.0
385,0,919.8000000000001,14.0
59,0,938.9000000000001,6.300000000000001
169,0,947.7,5.9
59,0,966.3000000000001,1.6
634,1,8.5,7.6000000000000005
930,1,10.8,15.8
634,1,20.400000000000002,24.6
288,1,182.10000000000002,3.4000000000000004
957,2,0.0,0.30000000000000004
255,2,2.4000000000000004,4.7
957,2,7.1000000000000005,7.9
178,2,0.0,16.5
255,2,15.5,15.700000000000001
957,2,31.900000000000002,30.400000000000002
178,2,29.900000000000002,35.6
957,2,78.0,10.9
178,2,74.10000000000001,26.200000000000003
319,2,88.7,17.400000000000002
673,2,114.0,8.3
207,2,151.20000000000002,12.9
518,2,161.9,13.700000000000001
673,2,181.10000000000002,5.800000000000001
673,2,191.20000000000002,1.1
518,2,178.60000000000002,14.5
319,2,211.9,9.8
957,2,221.70000000000002,17.400000000000002
178,2,213.8,28.6
