longitude,latitude,x,y,seconds,time
116.3069,39.9886166666667,785.8999999986338,336.45000000417724,3409632520.0000043,39463.3393518519
116.30665,39.98845,758.14999999929,317.9500000004083,3409632593.000004,39463.3401967593
116.30655,39.9883333333333,747.0499999989215,304.9999999968236,3409632615.000001,39463.3404513889
116.3064,39.9882333333333,730.3999999983688,293.8999999964551,3409632634.0,39463.3406712963
116.306166666667,39.98815,704.5000000353667,284.65000000009155,3409632650.000002,39463.3408564815
116.305816666667,39.9881833333333,665.6500000356544,288.34999999705957,3409632671.999999,39463.3411111111
116.30485,39.98815,558.349999998967,284.65000000009155,3409632747.9999967,39463.3419907407
116.304716666667,39.9880833333333,543.5500000363334,277.2499999966911,3409632790.0000043,39463.3424768519
116.304533333333,39.9880166666667,523.1999999615198,269.85000000433246,3409632948.9999976,39463.3443171296
116.3044,39.9879166666667,508.3999999988862,258.750000003964,3409633132.0000014,39463.3464351852
116.304483333333,39.9880666666667,517.6499999613355,275.400000003728,3409633288.9999986,39463.3482523148
116.304716666667,39.98815,543.5500000363334,284.65000000009155,3409633311.999998,39463.3485185185
116.304883333333,39.9880666666667,562.0499999612321,275.400000003728,3409633334.9999976,39463.3487847222
116.305,39.9884333333333,574.9999999995197,316.09999999640337,3409633377.999999,39463.3492824074
116.305083333333,39.98865,584.249999961969,340.15000000035656,3409633399.999997,39463.349537037
116.305066666667,39.9889166666667,582.4000000360456,369.7500000037053,3409633425.0000005,39463.3498263889
116.30505,39.9891666666667,580.5499999981265,397.5000000038378,3409633449.000003,39463.3501041667
116.305033333333,39.9893833333333,578.6999999617848,421.54999999674914,3409633469.9999976,39463.3503472222
116.30505,39.98965,580.5499999981265,451.15000000009786,3409633499.0000024,39463.3506828704
116.305083333333,39.9898666666667,584.249999961969,475.20000000405105,3409633530.000003,39463.3510416667
116.305033333333,39.9901166666667,578.6999999617848,502.95000000418355,3409633549.000002,39463.3512615741
116.305016666667,39.9903666666667,576.8500000358614,530.700000004316,3409633569.9999976,39463.3515046296
116.30535,39.9905,613.849999999232,545.5000000000751,3409633593.9999995,39463.3517824074
116.305616666667,39.9905166666667,643.4500000364949,547.3500000040801,3409633614.000001,39463.3520138889
